id,city
1,Aedd Gynvael
2,Aldersberg
3,Ard Carraigh
4,Acorn Bay
5,Amarillo
6,Anchor
7,Assengard
8,Attre
9,Beauclair
10,Bremervoord
11,Brugge
12,Ban Ard
13,Ban Glean
14,Belhaven
15,Blaviken
16,Cidaris
17,Cintra
18,Claremont
19,Creyden
20,Carreras
21,Crinfrid
22,Craag An
23,Daevon
24,Dillingen
25,Dorian
26,Duen Canell
27,Ellander
28,Eysenlaan
29,Fen Aspra
30,Fano
31,Foam
32,Forgeham
33,Gors Velen
34,Gelibol
35,Gulet
36,Hengfors
37,Hochebuz
38,Kagen
39,Kerack
40,Lan Exeter
41,Lyria
42,Maribor
43,Maecht
44,Malleore
45,Metinna
46,Murivel
47,Mount Carbon
48,Novigrad
49,Nilfgaard
50,Neunreuth
51,Oxenfurt
52,Pont Vanis
53,Rakverelin
54,Rivia
55,Riedbrune
56,Rinde
57,Roggeveen
58,Shaerrawedd
59,Tretogor
60,Thurn
61,Tegamo
62,Tridam
63,Tyffi
64,Vengerberg
65,Vizima
66,Vole
